RX Date/Time,A0(field 1),A1(field 2),A2(field 3),A3(field 4)
2023/07/10/ 11:24:10::851,25310,62,0.30,0.29,0.31,0.36,1.01,1.66
2023/07/10/ 11:24:11::260,25719,63,0.30,0.29,0.31,0.36,0.91,1.49
2023/07/10/ 11:24:11::674,26130,64,0.30,0.29,0.31,0.35,1.09,1.22
2023/07/10/ 11:24:12::085,26540,65,0.30,0.29,0.31,0.36,0.94,1.81
2023/07/10/ 11:24:12::498,26949,66,0.30,0.29,0.31,0.35,0.98,1.33
2023/07/10/ 11:24:12::918,27360,67,0.30,0.29,0.31,0.35,1.07,1.27
2023/07/10/ 11:24:13::327,27769,68,0.30,0.29,0.31,0.36,0.89,1.80
2023/07/10/ 11:24:13::738,28179,69,0.30,0.29,0.31,0.35,1.03,1.22
2023/07/10/ 11:24:14::153,28589,70,0.30,0.29,0.31,0.35,1.04,1.53
2023/07/10/ 11:24:14::564,28999,71,0.30,0.29,0.31,0.36,0.88,1.58
2023/07/10/ 11:24:14::982,29409,72,0.30,0.29,0.31,0.35,1.09,1.22
2023/07/10/ 11:24:15::389,29818,73,0.30,0.29,0.31,0.35,0.95,1.78
2023/07/10/ 11:24:15::804,30229,74,0.30,0.29,0.31,0.35,0.96,1.37
2023/07/10/ 11:24:16::215,30639,75,0.30,0.29,0.31,0.35,1.07,1.22
2023/07/10/ 11:24:16::630,31048,76,0.30,0.29,0.31,0.36,0.92,1.83
2023/07/10/ 11:24:17::049,31459,77,0.30,0.29,0.31,0.35,1.00,1.28
2023/07/10/ 11:24:17::456,31868,78,0.30,0.29,0.31,0.35,1.08,1.37
2023/07/10/ 11:24:17::867,32278,79,0.30,0.29,0.31,0.36,0.87,1.72
2023/07/10/ 11:24:18::281,32689,80,0.30,0.28,0.31,0.35,1.07,1.21
2023/07/10/ 11:24:18::695,33098,81,0.30,0.29,0.31,0.35,1.00,1.67
2023/07/10/ 11:24:19::106,33508,82,0.30,0.28,0.31,0.36,0.92,1.49
2023/07/10/ 11:24:19::521,33917,83,0.30,0.29,0.31,0.35,1.08,1.22
2023/07/10/ 11:24:19::933,34328,84,0.30,0.29,0.31,0.36,0.94,1.81
2023/07/10/ 11:24:20::346,34738,85,0.30,0.29,0.31,0.35,0.98,1.33
