RX Date/Time,Voltage(field 1)
2023/07/18/ 10:23:33::667,46309,2.65
2023/07/18/ 10:23:33::692,46334,2.80
2023/07/18/ 10:23:33::728,46360,2.58
2023/07/18/ 10:23:33::742,46386,2.51
2023/07/18/ 10:23:33::771,46411,2.49
2023/07/18/ 10:23:33::795,46437,3.07
2023/07/18/ 10:23:33::831,46464,2.69
2023/07/18/ 10:23:33::853,46489,2.55
2023/07/18/ 10:23:33::872,46515,2.45
2023/07/18/ 10:23:33::896,46540,2.69
2023/07/18/ 10:23:33::919,46566,2.60
2023/07/18/ 10:23:33::950,46592,2.51
2023/07/18/ 10:23:33::975,46617,2.40
2023/07/18/ 10:23:33::997,46643,2.60
2023/07/18/ 10:23:34::023,46668,2.12
2023/07/18/ 10:23:34::051,46694,2.69
2023/07/18/ 10:23:34::075,46720,2.59
2023/07/18/ 10:23:34::102,46745,2.73
2023/07/18/ 10:23:34::129,46771,2.76
2023/07/18/ 10:23:34::156,46797,2.77
2023/07/18/ 10:23:34::177,46823,2.71
2023/07/18/ 10:23:34::203,46849,2.72
2023/07/18/ 10:23:34::232,46874,2.76
2023/07/18/ 10:23:34::265,46900,2.37
2023/07/18/ 10:23:34::282,46925,2.43
2023/07/18/ 10:23:34::304,46951,2.75
2023/07/18/ 10:23:34::333,46977,2.94
2023/07/18/ 10:23:34::358,47002,2.59
2023/07/18/ 10:23:34::385,47028,2.60
2023/07/18/ 10:23:34::409,47053,2.64
2023/07/18/ 10:23:34::434,47079,2.42
2023/07/18/ 10:23:34::461,47106,2.78
2023/07/18/ 10:23:34::486,47131,2.61
2023/07/18/ 10:23:34::511,47157,2.77
2023/07/18/ 10:23:34::539,47182,2.46
2023/07/18/ 10:23:34::564,47208,2.65
2023/07/18/ 10:23:34::594,47234,2.80
2023/07/18/ 10:23:34::615,47259,2.53
2023/07/18/ 10:23:34::639,47285,2.79
2023/07/18/ 10:23:34::666,47310,2.45
2023/07/18/ 10:23:34::706,47336,2.64
2023/07/18/ 10:23:34::719,47362,2.64
