RX Date/Time,Voltage(field 1)
2023/07/18/ 10:24:06::490,79157,2.51
2023/07/18/ 10:24:06::509,79182,2.67
2023/07/18/ 10:24:06::536,79208,2.18
2023/07/18/ 10:24:06::559,79234,2.83
2023/07/18/ 10:24:06::592,79259,2.57
2023/07/18/ 10:24:06::613,79285,2.87
2023/07/18/ 10:24:06::644,79311,2.62
2023/07/18/ 10:24:06::672,79337,2.45
2023/07/18/ 10:24:06::691,79363,2.68
2023/07/18/ 10:24:06::714,79388,2.77
2023/07/18/ 10:24:06::756,79414,2.68
2023/07/18/ 10:24:06::774,79439,2.46
2023/07/18/ 10:24:06::792,79465,2.56
2023/07/18/ 10:24:06::818,79491,2.63
2023/07/18/ 10:24:06::841,79516,2.62
2023/07/18/ 10:24:06::873,79542,2.65
2023/07/18/ 10:24:06::893,79567,2.18
2023/07/18/ 10:24:06::920,79593,3.11
2023/07/18/ 10:24:06::944,79620,2.54
2023/07/18/ 10:24:06::977,79645,2.66
2023/07/18/ 10:24:06::995,79671,2.65
2023/07/18/ 10:24:07::019,79696,2.67
2023/07/18/ 10:24:07::056,79722,2.77
2023/07/18/ 10:24:07::076,79748,2.30
2023/07/18/ 10:24:07::101,79773,2.86
2023/07/18/ 10:24:07::123,79799,2.56
2023/07/18/ 10:24:07::156,79824,2.55
2023/07/18/ 10:24:07::192,79850,2.42
2023/07/18/ 10:24:07::200,79876,2.13
2023/07/18/ 10:24:07::227,79901,2.54
2023/07/18/ 10:24:07::257,79928,2.24
2023/07/18/ 10:24:07::278,79953,2.58
2023/07/18/ 10:24:07::309,79979,2.78
2023/07/18/ 10:24:07::327,80005,2.58
2023/07/18/ 10:24:07::364,80030,2.47
2023/07/18/ 10:24:07::382,80056,2.60
2023/07/18/ 10:24:07::410,80081,2.63
2023/07/18/ 10:24:07::438,80107,2.82
2023/07/18/ 10:24:07::466,80133,3.15
2023/07/18/ 10:24:07::484,80158,2.10
2023/07/18/ 10:24:07::520,80184,2.50
2023/07/18/ 10:24:07::542,80209,2.74
2023/07/18/ 10:24:07::560,80236,2.39
2023/07/18/ 10:24:07::587,80262,2.69
2023/07/18/ 10:24:07::612,80287,3.00
2023/07/18/ 10:24:07::647,80313,2.81
2023/07/18/ 10:24:07::666,80338,3.00
2023/07/18/ 10:24:07::690,80364,2.71
2023/07/18/ 10:24:07::713,80390,2.47
2023/07/18/ 10:24:07::745,80415,2.37
2023/07/18/ 10:24:07::766,80441,2.42
2023/07/18/ 10:24:07::792,80466,2.67
2023/07/18/ 10:24:07::817,80492,2.31
2023/07/18/ 10:24:07::852,80518,2.94
2023/07/18/ 10:24:07::867,80543,2.47
2023/07/18/ 10:24:07::892,80570,2.59
2023/07/18/ 10:24:07::927,80595,2.76
2023/07/18/ 10:24:07::950,80621,2.59
2023/07/18/ 10:24:07::975,80647,2.61
2023/07/18/ 10:24:07::997,80672,2.50
2023/07/18/ 10:24:08::030,80698,2.43
2023/07/18/ 10:24:08::064,80723,2.80
2023/07/18/ 10:24:08::075,80749,2.90
2023/07/18/ 10:24:08::100,80775,2.81
2023/07/18/ 10:24:08::134,80800,2.72
2023/07/18/ 10:24:08::153,80826,2.53
2023/07/18/ 10:24:08::182,80851,2.49
2023/07/18/ 10:24:08::202,80878,2.70
2023/07/18/ 10:24:08::242,80904,2.55
2023/07/18/ 10:24:08::256,80929,2.74
2023/07/18/ 10:24:08::281,80955,2.52
2023/07/18/ 10:24:08::307,80980,3.00
2023/07/18/ 10:24:08::338,81006,2.69
2023/07/18/ 10:24:08::357,81032,2.59
2023/07/18/ 10:24:08::400,81057,2.62
2023/07/18/ 10:24:08::412,81083,2.69
2023/07/18/ 10:24:08::433,81108,2.74
2023/07/18/ 10:24:08::460,81134,2.76
2023/07/18/ 10:24:08::485,81160,2.55
2023/07/18/ 10:24:08::519,81185,2.36
2023/07/18/ 10:24:08::538,81212,2.38
2023/07/18/ 10:24:08::562,81238,2.79
2023/07/18/ 10:24:08::584,81263,2.45
2023/07/18/ 10:24:08::616,81289,2.38
2023/07/18/ 10:24:08::637,81314,2.80
2023/07/18/ 10:24:08::665,81340,2.67
2023/07/18/ 10:24:08::689,81366,2.44
2023/07/18/ 10:24:08::728,81391,2.45
2023/07/18/ 10:24:08::743,81417,2.86
2023/07/18/ 10:24:08::767,81442,2.73
2023/07/18/ 10:24:08::802,81468,2.71
2023/07/18/ 10:24:08::832,81494,2.60
2023/07/18/ 10:24:08::849,81520,2.38
2023/07/18/ 10:24:08::868,81546,2.58
2023/07/18/ 10:24:08::904,81571,2.68
2023/07/18/ 10:24:08::921,81597,2.60
2023/07/18/ 10:24:08::947,81623,2.28
2023/07/18/ 10:24:08::972,81648,2.55
2023/07/18/ 10:24:09::009,81674,2.68
2023/07/18/ 10:24:09::023,81699,2.72
2023/07/18/ 10:24:09::051,81725,2.47
2023/07/18/ 10:24:09::074,81751,2.63
2023/07/18/ 10:24:09::109,81776,2.57
2023/07/18/ 10:24:09::127,81802,2.73
2023/07/18/ 10:24:09::161,81828,2.61
2023/07/18/ 10:24:09::176,81854,2.49
2023/07/18/ 10:24:09::209,81880,2.70
2023/07/18/ 10:24:09::230,81905,2.72
2023/07/18/ 10:24:09::269,81931,2.61
2023/07/18/ 10:24:09::287,81956,2.60
2023/07/18/ 10:24:09::308,81982,2.34
2023/07/18/ 10:24:09::330,82008,2.58
2023/07/18/ 10:24:09::356,82033,2.15
2023/07/18/ 10:24:09::389,82059,2.52
2023/07/18/ 10:24:09::413,82084,2.44
2023/07/18/ 10:24:09::434,82110,2.91
2023/07/18/ 10:24:09::460,82137,2.61
2023/07/18/ 10:24:09::491,82162,2.79
2023/07/18/ 10:24:09::512,82188,2.63
2023/07/18/ 10:24:09::537,82213,2.62
2023/07/18/ 10:24:09::559,82239,2.55
2023/07/18/ 10:24:09::595,82265,2.83
2023/07/18/ 10:24:09::619,82290,2.43
2023/07/18/ 10:24:09::640,82316,2.05
2023/07/18/ 10:24:09::671,82341,2.67
2023/07/18/ 10:24:09::707,82367,2.65
2023/07/18/ 10:24:09::719,82393,2.72
2023/07/18/ 10:24:09::740,82418,2.82
2023/07/18/ 10:24:09::776,82444,2.85
2023/07/18/ 10:24:09::794,82470,3.15
2023/07/18/ 10:24:09::819,82496,2.32
2023/07/18/ 10:24:09::843,82522,2.66
2023/07/18/ 10:24:09::877,82547,2.69
2023/07/18/ 10:24:09::898,82573,2.58
2023/07/18/ 10:24:09::921,82598,2.77
2023/07/18/ 10:24:09::946,82624,2.36
2023/07/18/ 10:24:09::979,82650,2.41
2023/07/18/ 10:24:10::000,82675,2.87
2023/07/18/ 10:24:10::036,82701,2.79
2023/07/18/ 10:24:10::050,82726,2.64
2023/07/18/ 10:24:10::082,82752,2.48
2023/07/18/ 10:24:10::103,82778,2.72
2023/07/18/ 10:24:10::142,82804,2.51
2023/07/18/ 10:24:10::161,82830,2.70
2023/07/18/ 10:24:10::180,82855,2.67
2023/07/18/ 10:24:10::203,82881,2.39
2023/07/18/ 10:24:10::229,82907,2.72
2023/07/18/ 10:24:10::264,82932,2.88
2023/07/18/ 10:24:10::281,82958,2.66
2023/07/18/ 10:24:10::305,82983,2.80
2023/07/18/ 10:24:10::331,83009,3.17
2023/07/18/ 10:24:10::361,83035,2.73
2023/07/18/ 10:24:10::383,83060,2.64
2023/07/18/ 10:24:10::411,83086,2.36
2023/07/18/ 10:24:10::434,83112,2.88
2023/07/18/ 10:24:10::476,83138,2.52
2023/07/18/ 10:24:10::488,83164,3.04
2023/07/18/ 10:24:10::512,83189,2.36
2023/07/18/ 10:24:10::537,83215,2.69
2023/07/18/ 10:24:10::572,83240,2.33
2023/07/18/ 10:24:10::595,83266,2.62
2023/07/18/ 10:24:10::617,83292,2.84
2023/07/18/ 10:24:10::649,83317,2.71
2023/07/18/ 10:24:10::668,83343,2.56
2023/07/18/ 10:24:10::697,83368,2.56
2023/07/18/ 10:24:10::715,83394,2.88
2023/07/18/ 10:24:10::752,83420,2.88
2023/07/18/ 10:24:10::768,83446,2.40
2023/07/18/ 10:24:10::807,83472,2.56
2023/07/18/ 10:24:10::821,83497,2.60
2023/07/18/ 10:24:10::853,83523,2.74
2023/07/18/ 10:24:10::873,83549,2.63
2023/07/18/ 10:24:10::913,83574,2.24
2023/07/18/ 10:24:10::923,83600,2.59
2023/07/18/ 10:24:10::955,83625,2.65
2023/07/18/ 10:24:10::975,83651,2.28
2023/07/18/ 10:24:10::998,83677,2.77
2023/07/18/ 10:24:11::025,83702,2.68
2023/07/18/ 10:24:11::058,83728,2.59
2023/07/18/ 10:24:11::078,83755,2.65
2023/07/18/ 10:24:11::102,83780,3.01
2023/07/18/ 10:24:11::134,83806,2.42
2023/07/18/ 10:24:11::158,83831,2.62
2023/07/18/ 10:24:11::180,83857,2.75
2023/07/18/ 10:24:11::203,83883,2.84
2023/07/18/ 10:24:11::240,83908,2.77
2023/07/18/ 10:24:11::257,83934,2.48
2023/07/18/ 10:24:11::283,83959,2.53
2023/07/18/ 10:24:11::306,83985,2.80
2023/07/18/ 10:24:11::341,84011,2.55
2023/07/18/ 10:24:11::364,84036,2.69
2023/07/18/ 10:24:11::384,84062,2.68
2023/07/18/ 10:24:11::410,84088,2.91
2023/07/18/ 10:24:11::445,84114,2.70
2023/07/18/ 10:24:11::468,84140,2.51
2023/07/18/ 10:24:11::493,84165,2.67
2023/07/18/ 10:24:11::519,84191,3.19
2023/07/18/ 10:24:11::542,84216,2.75
2023/07/18/ 10:24:11::565,84242,2.38
2023/07/18/ 10:24:11::586,84268,2.46
2023/07/18/ 10:24:11::622,84293,2.56
2023/07/18/ 10:24:11::641,84319,2.61
2023/07/18/ 10:24:11::680,84344,2.52
2023/07/18/ 10:24:11::689,84370,2.87
2023/07/18/ 10:24:11::724,84397,2.23
2023/07/18/ 10:24:11::745,84422,2.39
2023/07/18/ 10:24:11::788,84448,2.42
2023/07/18/ 10:24:11::799,84473,2.57
2023/07/18/ 10:24:11::829,84499,2.31
2023/07/18/ 10:24:11::852,84525,2.57
2023/07/18/ 10:24:11::873,84550,3.15
2023/07/18/ 10:24:11::901,84576,2.45
2023/07/18/ 10:24:11::931,84601,2.90
2023/07/18/ 10:24:11::948,84627,1.88
2023/07/18/ 10:24:11::974,84653,2.61
2023/07/18/ 10:24:12::003,84678,2.66
2023/07/18/ 10:24:12::024,84704,2.68
2023/07/18/ 10:24:12::051,84730,3.22
2023/07/18/ 10:24:12::077,84756,2.72
2023/07/18/ 10:24:12::118,84782,3.27
2023/07/18/ 10:24:12::130,84807,2.75
2023/07/18/ 10:24:12::154,84833,2.71
2023/07/18/ 10:24:12::178,84858,2.54
2023/07/18/ 10:24:12::213,84884,2.03
2023/07/18/ 10:24:12::241,84910,2.32
2023/07/18/ 10:24:12::257,84935,1.69
2023/07/18/ 10:24:12::280,84961,2.80
2023/07/18/ 10:24:12::317,84986,3.77
2023/07/18/ 10:24:12::339,85012,2.29
2023/07/18/ 10:24:12::369,85039,2.87
2023/07/18/ 10:24:12::384,85064,2.55
2023/07/18/ 10:24:12::421,85090,2.60
2023/07/18/ 10:24:12::456,85115,1.89
2023/07/18/ 10:24:12::465,85141,2.65
2023/07/18/ 10:24:12::496,85167,2.17
2023/07/18/ 10:24:12::515,85192,2.75
2023/07/18/ 10:24:12::552,85218,3.14
2023/07/18/ 10:24:12::566,85243,2.50
2023/07/18/ 10:24:12::599,85269,3.21
2023/07/18/ 10:24:12::618,85295,2.52
2023/07/18/ 10:24:12::660,85320,2.70
2023/07/18/ 10:24:12::671,85346,2.55
2023/07/18/ 10:24:12::702,85372,2.49
2023/07/18/ 10:24:12::719,85398,2.87
2023/07/18/ 10:24:12::745,85424,2.80
2023/07/18/ 10:24:12::774,85449,2.84
2023/07/18/ 10:24:12::801,85475,2.17
2023/07/18/ 10:24:12::819,85500,2.34
2023/07/18/ 10:24:12::851,85526,2.58
2023/07/18/ 10:24:12::881,85552,2.50
2023/07/18/ 10:24:12::905,85577,2.74
2023/07/18/ 10:24:12::924,85603,2.42
2023/07/18/ 10:24:12::950,85628,2.79
2023/07/18/ 10:24:12::991,85654,3.18
2023/07/18/ 10:24:13::002,85680,2.62
2023/07/18/ 10:24:13::027,85706,2.50
2023/07/18/ 10:24:13::051,85732,2.61
2023/07/18/ 10:24:13::084,85757,2.59
2023/07/18/ 10:24:13::115,85783,3.22
2023/07/18/ 10:24:13::127,85809,2.03
2023/07/18/ 10:24:13::154,85834,2.93
2023/07/18/ 10:24:13::188,85860,2.35
2023/07/18/ 10:24:13::213,85885,2.89
2023/07/18/ 10:24:13::232,85911,1.96
2023/07/18/ 10:24:13::257,85937,3.15
2023/07/18/ 10:24:13::292,85962,2.74
2023/07/18/ 10:24:13::323,85988,2.18
2023/07/18/ 10:24:13::337,86014,3.08
2023/07/18/ 10:24:13::367,86040,2.64
2023/07/18/ 10:24:13::385,86066,3.20
2023/07/18/ 10:24:13::430,86091,3.39
2023/07/18/ 10:24:13::441,86117,3.01
2023/07/18/ 10:24:13::471,86142,3.80
2023/07/18/ 10:24:13::490,86168,2.48
2023/07/18/ 10:24:13::512,86194,2.68
2023/07/18/ 10:24:13::546,86219,3.07
2023/07/18/ 10:24:13::572,86245,2.59
2023/07/18/ 10:24:13::593,86270,2.61
2023/07/18/ 10:24:13::614,86296,2.34
2023/07/18/ 10:24:13::645,86322,2.35
2023/07/18/ 10:24:13::671,86348,2.67
2023/07/18/ 10:24:13::692,86374,2.98
2023/07/18/ 10:24:13::718,86400,2.43
2023/07/18/ 10:24:13::756,86425,2.18
2023/07/18/ 10:24:13::780,86451,2.61
2023/07/18/ 10:24:13::797,86476,2.21
2023/07/18/ 10:24:13::822,86502,2.55
2023/07/18/ 10:24:13::870,86528,2.86
2023/07/18/ 10:24:13::880,86553,2.54
2023/07/18/ 10:24:13::900,86579,3.70
2023/07/18/ 10:24:13::924,86604,3.36
2023/07/18/ 10:24:13::958,86630,2.57
2023/07/18/ 10:24:13::981,86657,2.59
2023/07/18/ 10:24:14::002,86682,2.37
2023/07/18/ 10:24:14::027,86708,3.14
2023/07/18/ 10:24:14::065,86733,3.40
2023/07/18/ 10:24:14::087,86759,2.65
2023/07/18/ 10:24:14::111,86785,2.63
2023/07/18/ 10:24:14::128,86810,2.70
2023/07/18/ 10:24:14::162,86836,3.06
2023/07/18/ 10:24:14::197,86861,2.87
2023/07/18/ 10:24:14::208,86887,2.44
2023/07/18/ 10:24:14::232,86913,2.82
2023/07/18/ 10:24:14::267,86938,2.22
2023/07/18/ 10:24:14::305,86964,2.92
2023/07/18/ 10:24:14::316,86990,2.34
2023/07/18/ 10:24:14::343,87016,2.39
2023/07/18/ 10:24:14::363,87042,2.32
2023/07/18/ 10:24:14::386,87067,2.61
2023/07/18/ 10:24:14::413,87093,3.02
2023/07/18/ 10:24:14::447,87118,2.70
2023/07/18/ 10:24:14::465,87144,2.39
2023/07/18/ 10:24:14::489,87170,2.27
2023/07/18/ 10:24:14::519,87195,2.25
2023/07/18/ 10:24:14::549,87221,3.39
2023/07/18/ 10:24:14::565,87246,2.28
2023/07/18/ 10:24:14::589,87272,2.55
2023/07/18/ 10:24:14::627,87299,2.88
2023/07/18/ 10:24:14::648,87324,2.69
2023/07/18/ 10:24:14::670,87350,2.50
2023/07/18/ 10:24:14::691,87375,3.24
2023/07/18/ 10:24:14::729,87401,2.64
2023/07/18/ 10:24:14::755,87427,2.28
2023/07/18/ 10:24:14::770,87452,2.31
2023/07/18/ 10:24:14::794,87478,2.66
2023/07/18/ 10:24:14::829,87503,3.32
2023/07/18/ 10:24:14::852,87529,2.87
2023/07/18/ 10:24:14::875,87555,2.77
2023/07/18/ 10:24:14::899,87580,1.75
2023/07/18/ 10:24:14::931,87607,2.76
2023/07/18/ 10:24:14::961,87632,2.09
2023/07/18/ 10:24:14::985,87658,2.34
2023/07/18/ 10:24:15::002,87684,2.86
2023/07/18/ 10:24:15::035,87709,2.23
2023/07/18/ 10:24:15::061,87735,2.32
2023/07/18/ 10:24:15::080,87760,2.56
2023/07/18/ 10:24:15::104,87786,2.23
2023/07/18/ 10:24:15::142,87812,2.28
2023/07/18/ 10:24:15::174,87837,2.18
2023/07/18/ 10:24:15::183,87863,3.27
2023/07/18/ 10:24:15::218,87888,2.66
2023/07/18/ 10:24:15::235,87914,3.13
2023/07/18/ 10:24:15::259,87941,2.62
2023/07/18/ 10:24:15::286,87966,2.73
2023/07/18/ 10:24:15::319,87992,2.92
2023/07/18/ 10:24:15::335,88017,2.71
2023/07/18/ 10:24:15::361,88043,2.32
2023/07/18/ 10:24:15::399,88069,2.61
2023/07/18/ 10:24:15::426,88094,3.50
2023/07/18/ 10:24:15::440,88120,2.62
2023/07/18/ 10:24:15::463,88145,2.92
2023/07/18/ 10:24:15::507,88171,2.90
2023/07/18/ 10:24:15::518,88197,2.24
2023/07/18/ 10:24:15::549,88222,2.81
2023/07/18/ 10:24:15::567,88249,2.46
2023/07/18/ 10:24:15::601,88274,2.94
2023/07/18/ 10:24:15::632,88300,2.82
2023/07/18/ 10:24:15::645,88326,2.22
2023/07/18/ 10:24:15::667,88351,2.71
2023/07/18/ 10:24:15::707,88377,1.86
2023/07/18/ 10:24:15::734,88402,2.68
2023/07/18/ 10:24:15::746,88428,2.75
2023/07/18/ 10:24:15::770,88454,3.27
2023/07/18/ 10:24:15::806,88479,2.88
2023/07/18/ 10:24:15::831,88505,2.61
2023/07/18/ 10:24:15::852,88530,2.71
2023/07/18/ 10:24:15::871,88556,2.55
2023/07/18/ 10:24:15::908,88583,2.60
2023/07/18/ 10:24:15::942,88608,2.68
2023/07/18/ 10:24:15::952,88634,2.27
2023/07/18/ 10:24:15::977,88659,2.93
2023/07/18/ 10:24:16::009,88685,2.67
2023/07/18/ 10:24:16::027,88711,2.67
2023/07/18/ 10:24:16::052,88736,1.69
2023/07/18/ 10:24:16::090,88762,2.65
2023/07/18/ 10:24:16::107,88787,3.35
2023/07/18/ 10:24:16::129,88813,2.54
2023/07/18/ 10:24:16::165,88839,3.02
2023/07/18/ 10:24:16::191,88864,1.92
2023/07/18/ 10:24:16::209,88891,2.27
2023/07/18/ 10:24:16::232,88916,2.61
2023/07/18/ 10:24:16::275,88942,2.25
2023/07/18/ 10:24:16::296,88968,2.20
2023/07/18/ 10:24:16::320,88993,2.66
2023/07/18/ 10:24:16::337,89019,3.14
2023/07/18/ 10:24:16::381,89044,2.12
2023/07/18/ 10:24:16::391,89070,2.83
2023/07/18/ 10:24:16::415,89096,2.70
2023/07/18/ 10:24:16::436,89121,2.40
2023/07/18/ 10:24:16::461,89147,2.84
2023/07/18/ 10:24:16::493,89172,2.13
2023/07/18/ 10:24:16::515,89199,2.23
2023/07/18/ 10:24:16::541,89225,2.73
2023/07/18/ 10:24:16::576,89250,3.23
2023/07/18/ 10:24:16::602,89276,2.67
2023/07/18/ 10:24:16::616,89302,2.49
2023/07/18/ 10:24:16::644,89327,2.64
2023/07/18/ 10:24:16::678,89353,3.08
2023/07/18/ 10:24:16::703,89378,3.08
2023/07/18/ 10:24:16::723,89404,3.35
2023/07/18/ 10:24:16::747,89430,2.18
2023/07/18/ 10:24:16::782,89455,2.55
2023/07/18/ 10:24:16::815,89481,2.48
2023/07/18/ 10:24:16::826,89506,2.49
2023/07/18/ 10:24:16::851,89533,2.88
2023/07/18/ 10:24:16::881,89559,2.27
2023/07/18/ 10:24:16::903,89584,2.43
2023/07/18/ 10:24:16::935,89610,2.58
2023/07/18/ 10:24:16::962,89635,2.35
2023/07/18/ 10:24:16::988,89661,2.35
2023/07/18/ 10:24:17::004,89687,2.87
2023/07/18/ 10:24:17::039,89712,2.05
2023/07/18/ 10:24:17::066,89738,3.20
2023/07/18/ 10:24:17::082,89763,2.59
2023/07/18/ 10:24:17::107,89789,2.68
2023/07/18/ 10:24:17::146,89815,2.96
2023/07/18/ 10:24:17::169,89840,2.85
2023/07/18/ 10:24:17::185,89867,2.62
2023/07/18/ 10:24:17::206,89892,2.51
2023/07/18/ 10:24:17::232,89918,2.22
2023/07/18/ 10:24:17::270,89944,2.71
2023/07/18/ 10:24:17::287,89969,3.03
2023/07/18/ 10:24:17::311,89995,2.93
2023/07/18/ 10:24:17::333,90020,2.63
2023/07/18/ 10:24:17::373,90046,2.93
2023/07/18/ 10:24:17::388,90072,2.46
2023/07/18/ 10:24:17::414,90097,2.88
2023/07/18/ 10:24:17::451,90123,2.25
2023/07/18/ 10:24:17::480,90148,2.80
2023/07/18/ 10:24:17::492,90175,3.45
2023/07/18/ 10:24:17::517,90201,2.85
2023/07/18/ 10:24:17::552,90226,2.79
2023/07/18/ 10:24:17::584,90252,2.47
2023/07/18/ 10:24:17::596,90277,2.17
2023/07/18/ 10:24:17::619,90303,2.62
2023/07/18/ 10:24:17::653,90329,2.66
2023/07/18/ 10:24:17::685,90354,2.56
2023/07/18/ 10:24:17::697,90380,2.35
2023/07/18/ 10:24:17::723,90405,2.90
2023/07/18/ 10:24:17::758,90431,2.98
2023/07/18/ 10:24:17::775,90457,2.70
2023/07/18/ 10:24:17::808,90482,2.46
2023/07/18/ 10:24:17::824,90509,2.53
2023/07/18/ 10:24:17::853,90534,2.73
2023/07/18/ 10:24:17::873,90560,3.14
2023/07/18/ 10:24:17::915,90586,2.72
2023/07/18/ 10:24:17::934,90611,2.61
2023/07/18/ 10:24:17::954,90637,2.63
2023/07/18/ 10:24:17::977,90662,2.19
2023/07/18/ 10:24:18::020,90688,2.66
2023/07/18/ 10:24:18::043,90714,2.76
2023/07/18/ 10:24:18::058,90739,2.83
2023/07/18/ 10:24:18::081,90765,3.04
2023/07/18/ 10:24:18::104,90790,2.46
2023/07/18/ 10:24:18::137,90817,2.56
2023/07/18/ 10:24:18::160,90843,2.74
2023/07/18/ 10:24:18::184,90868,2.51
2023/07/18/ 10:24:18::209,90894,2.87
2023/07/18/ 10:24:18::239,90919,2.55
2023/07/18/ 10:24:18::260,90945,2.89
2023/07/18/ 10:24:18::287,90971,2.61
2023/07/18/ 10:24:18::321,90996,2.56
2023/07/18/ 10:24:18::349,91022,2.65
2023/07/18/ 10:24:18::365,91047,3.10
2023/07/18/ 10:24:18::388,91073,2.39
2023/07/18/ 10:24:18::426,91099,2.79
2023/07/18/ 10:24:18::450,91125,3.02
2023/07/18/ 10:24:18::465,91151,2.69
2023/07/18/ 10:24:18::490,91176,2.24
2023/07/18/ 10:24:18::527,91202,2.61
2023/07/18/ 10:24:18::544,91228,2.59
2023/07/18/ 10:24:18::570,91253,2.83
2023/07/18/ 10:24:18::592,91279,2.36
2023/07/18/ 10:24:18::628,91304,2.37
2023/07/18/ 10:24:18::646,91330,2.92
2023/07/18/ 10:24:18::680,91356,2.56
2023/07/18/ 10:24:18::696,91381,2.97
2023/07/18/ 10:24:18::735,91407,2.55
2023/07/18/ 10:24:18::748,91432,2.64
2023/07/18/ 10:24:18::783,91459,2.69
2023/07/18/ 10:24:18::810,91485,2.22
2023/07/18/ 10:24:18::824,91510,2.41
2023/07/18/ 10:24:18::853,91536,2.41
2023/07/18/ 10:24:18::877,91561,2.45
2023/07/18/ 10:24:18::907,91587,2.74
2023/07/18/ 10:24:18::938,91613,2.86
2023/07/18/ 10:24:18::954,91638,2.72
2023/07/18/ 10:24:18::977,91664,2.69
2023/07/18/ 10:24:19::011,91689,2.30
2023/07/18/ 10:24:19::034,91715,2.71
2023/07/18/ 10:24:19::055,91741,2.74
2023/07/18/ 10:24:19::082,91767,2.39
2023/07/18/ 10:24:19::114,91793,2.65
2023/07/18/ 10:24:19::135,91819,3.06
2023/07/18/ 10:24:19::161,91844,2.74
2023/07/18/ 10:24:19::184,91870,2.59
2023/07/18/ 10:24:19::229,91895,2.84
2023/07/18/ 10:24:19::241,91921,2.49
2023/07/18/ 10:24:19::258,91947,2.82
2023/07/18/ 10:24:19::300,91972,2.53
2023/07/18/ 10:24:19::332,91998,2.19
2023/07/18/ 10:24:19::344,92023,2.56
2023/07/18/ 10:24:19::375,92049,2.10
2023/07/18/ 10:24:19::400,92076,2.59
2023/07/18/ 10:24:19::416,92101,2.69
2023/07/18/ 10:24:19::448,92127,2.88
2023/07/18/ 10:24:19::465,92152,2.64
2023/07/18/ 10:24:19::502,92178,2.57
2023/07/18/ 10:24:19::519,92204,2.48
2023/07/18/ 10:24:19::546,92229,2.56
2023/07/18/ 10:24:19::566,92255,2.63
2023/07/18/ 10:24:19::606,92280,2.60
2023/07/18/ 10:24:19::623,92306,2.36
2023/07/18/ 10:24:19::663,92332,2.46
2023/07/18/ 10:24:19::675,92357,2.84
2023/07/18/ 10:24:19::698,92383,3.18
2023/07/18/ 10:24:19::725,92409,2.83
2023/07/18/ 10:24:19::748,92435,2.73
2023/07/18/ 10:24:19::782,92461,2.91
2023/07/18/ 10:24:19::801,92486,2.62
2023/07/18/ 10:24:19::827,92512,2.72
2023/07/18/ 10:24:19::853,92537,2.61
2023/07/18/ 10:24:19::885,92563,2.52
2023/07/18/ 10:24:19::904,92589,3.05
2023/07/18/ 10:24:19::927,92614,2.83
2023/07/18/ 10:24:19::953,92640,2.48
2023/07/18/ 10:24:19::992,92665,2.37
2023/07/18/ 10:24:20::004,92691,2.64
2023/07/18/ 10:24:20::032,92718,2.63
2023/07/18/ 10:24:20::056,92743,2.59
2023/07/18/ 10:24:20::098,92769,2.63
2023/07/18/ 10:24:20::110,92794,2.83
2023/07/18/ 10:24:20::134,92820,2.65
2023/07/18/ 10:24:20::169,92846,2.66
2023/07/18/ 10:24:20::206,92871,2.68
2023/07/18/ 10:24:20::217,92897,2.26
2023/07/18/ 10:24:20::236,92922,3.04
2023/07/18/ 10:24:20::273,92948,2.62
2023/07/18/ 10:24:20::290,92974,2.65
2023/07/18/ 10:24:20::314,92999,3.04
2023/07/18/ 10:24:20::336,93025,2.83
2023/07/18/ 10:24:20::375,93051,2.77
2023/07/18/ 10:24:20::393,93077,2.45
2023/07/18/ 10:24:20::431,93103,2.31
2023/07/18/ 10:24:20::443,93128,2.99
2023/07/18/ 10:24:20::477,93154,2.09
2023/07/18/ 10:24:20::494,93179,2.70
2023/07/18/ 10:24:20::535,93205,2.47
2023/07/18/ 10:24:20::547,93231,2.63
2023/07/18/ 10:24:20::581,93256,2.96
2023/07/18/ 10:24:20::597,93282,2.73
2023/07/18/ 10:24:20::620,93307,3.04
2023/07/18/ 10:24:20::659,93333,2.61
2023/07/18/ 10:24:20::675,93360,2.66
2023/07/18/ 10:24:20::698,93385,2.72
2023/07/18/ 10:24:20::724,93411,2.96
2023/07/18/ 10:24:20::755,93436,2.74
2023/07/18/ 10:24:20::776,93462,2.75
2023/07/18/ 10:24:20::801,93488,2.61
2023/07/18/ 10:24:20::823,93513,3.01
2023/07/18/ 10:24:20::865,93539,2.76
2023/07/18/ 10:24:20::877,93564,2.66
2023/07/18/ 10:24:20::904,93590,2.75
2023/07/18/ 10:24:20::928,93616,2.59
2023/07/18/ 10:24:20::962,93641,2.70
2023/07/18/ 10:24:20::988,93667,2.42
2023/07/18/ 10:24:21::007,93693,2.44
2023/07/18/ 10:24:21::047,93719,2.52
2023/07/18/ 10:24:21::060,93745,2.67
2023/07/18/ 10:24:21::089,93770,2.56
2023/07/18/ 10:24:21::111,93796,2.42
2023/07/18/ 10:24:21::144,93821,2.66
2023/07/18/ 10:24:21::162,93847,2.48
2023/07/18/ 10:24:21::194,93873,2.60
2023/07/18/ 10:24:21::212,93898,2.66
2023/07/18/ 10:24:21::249,93924,2.67
2023/07/18/ 10:24:21::263,93949,2.67
2023/07/18/ 10:24:21::301,93975,2.59
2023/07/18/ 10:24:21::314,94002,2.52
2023/07/18/ 10:24:21::350,94027,2.32
2023/07/18/ 10:24:21::368,94053,2.62
2023/07/18/ 10:24:21::392,94078,2.61
